filing_date,result_quarter,table_index,row_number,mode,section,row_text,numeric_values,selected_value,source
2016-08-04,2016Q2,32,34,ACTUAL,gas,Total | | 1194 | | | | 1257 | | | | 1205 | | | | 1265 |,"[1194.0, 1257.0, 1205.0, 1265.0]",1194.0,2016-08-04:EX-99.1:exh99-1080416.htm
2016-08-04,2016Q2,32,46,ACTUAL,total,Total | | 551.1 | | | | 560.5 | | | | 550.4 | | | | 574.9 |,"[551.1, 560.5, 550.4, 574.9]",551.1,2016-08-04:EX-99.1:exh99-1080416.htm
2016-08-04,2016Q2,51,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 75.0 | | - | | 79.0 | | | | 76.0 | | - | | 80.0 |,"[75.0, 79.0, 76.0, 80.0]",75.0,2016-08-04:EX-99.1:exh99-1080416.htm
2016-08-04,2016Q2,51,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1085 | | - | | 1139 | | | | 1127 | | - | | 1174 |,"[1085.0, 1139.0, 1127.0, 1174.0]",1085.0,2016-08-04:EX-99.1:exh99-1080416.htm
2016-08-04,2016Q2,51,36,ACTUAL,total,Total | Total | Total | Total | Total | | 524.2 | | - | | 549.7 | | | | 533.5 | | - | | 551.5 |,"[524.2, 549.7, 533.5, 551.5]",524.2,2016-08-04:EX-99.1:exh99-1080416.htm
2016-05-05,2016Q1,34,23,ACTUAL,ngl,Total | | 79.4 | | | | 77.5 |,"[79.4, 77.5]",79.4,2016-05-05:EX-99.1:exh99-1050516.htm
2016-05-05,2016Q1,34,34,ACTUAL,gas,Total | | 1215 | | | | 1273 |,"[1215.0, 1273.0]",1215.0,2016-05-05:EX-99.1:exh99-1050516.htm
2016-05-05,2016Q1,34,46,ACTUAL,total,Total | | 549.9 | | | | 589.5 |,"[549.9, 589.5]",549.9,2016-05-05:EX-99.1:exh99-1050516.htm
2016-05-05,2016Q1,50,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 71.0 | | - | | 79.0 | | | | 72.0 | | - | | 80.0 |,"[71.0, 79.0, 72.0, 80.0]",71.0,2016-05-05:EX-99.1:exh99-1050516.htm
2016-05-05,2016Q1,50,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1095 | | - | | 1171 | | | | 1080 | | - | | 1145 |,"[1095.0, 1171.0, 1080.0, 1145.0]",1095.0,2016-05-05:EX-99.1:exh99-1050516.htm
2016-05-05,2016Q1,50,36,ACTUAL,total,Total | Total | Total | Total | Total | | 512.7 | | - | | 547.7 | | | | 512.3 | | - | | 550.4 |,"[512.7, 547.7, 512.3, 550.4]",512.7,2016-05-05:EX-99.1:exh99-1050516.htm
2016-02-25,2015Q4,32,23,ACTUAL,ngl,Total | | 79.1 | | | | 83.6 | | | | 77.0 | | | | 80.3 |,"[79.1, 83.6, 77.0, 80.3]",79.1,2016-02-25:EX-99.1:exh99-1022516.htm
2016-02-25,2015Q4,32,34,ACTUAL,gas,Total | | 1257 | | | | 1310 | | | | 1265 | | | | 1353 |,"[1257.0, 1310.0, 1265.0, 1353.0]",1257.0,2016-02-25:EX-99.1:exh99-1022516.htm
2016-02-25,2015Q4,32,46,ACTUAL,total,Total | | 569.5 | | | | 609.6 | | | | 572.2 | | | | 594.7 |,"[569.5, 609.6, 572.2, 594.7]",569.5,2016-02-25:EX-99.1:exh99-1022516.htm
2016-02-25,2015Q4,49,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 71.0 | | - | | 79.0 | | | | 70.0 | | - | | 80.0 |,"[71.0, 79.0, 70.0, 80.0]",71.0,2016-02-25:EX-99.1:exh99-1022516.htm
2016-02-25,2015Q4,49,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1157 | | - | | 1203 | | | | 1070 | | - | | 1135 |,"[1157.0, 1203.0, 1070.0, 1135.0]",1157.0,2016-02-25:EX-99.1:exh99-1022516.htm
2016-02-25,2015Q4,49,36,ACTUAL,total,Total | Total | Total | Total | Total | | 519.2 | | - | | 551.0 | | | | 508.3 | | - | | 549.2 |,"[519.2, 551.0, 508.3, 549.2]",519.2,2016-02-25:EX-99.1:exh99-1022516.htm
2015-11-05,2015Q3,35,23,ACTUAL,ngl,Total | | 77.8 | | | | 86.4 | | | | 76.3 | | | | 79.1 |,"[77.8, 86.4, 76.3, 79.1]",77.8,2015-11-05:EX-99.1:exh99-1110515.htm
2015-11-05,2015Q3,35,34,ACTUAL,gas,Total | | 1274 | | | | 1369 | | | | 1268 | | | | 1368 |,"[1274.0, 1369.0, 1268.0, 1368.0]",1274.0,2015-11-05:EX-99.1:exh99-1110515.htm
2015-11-05,2015Q3,35,46,ACTUAL,total,Total | | 569.6 | | | | 614.1 | | | | 573.1 | | | | 589.7 |,"[569.6, 614.1, 573.1, 589.7]",569.6,2015-11-05:EX-99.1:exh99-1110515.htm
2015-11-05,2015Q3,53,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 72.0 | | - | | 78.0 | | | | 75.2 | | - | | 76.7 |,"[72.0, 78.0, 75.2, 76.7]",72.0,2015-11-05:EX-99.1:exh99-1110515.htm
2015-11-05,2015Q3,53,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1214 | | - | | 1280 | | | | 1254 | | - | | 1271 |,"[1214.0, 1280.0, 1254.0, 1271.0]",1214.0,2015-11-05:EX-99.1:exh99-1110515.htm
2015-11-05,2015Q3,53,36,ACTUAL,total,Total | Total | Total | Total | Total | | 549.1 | | - | | 577.4 | | | | 566.8 | | - | | 574.3 |,"[549.1, 577.4, 566.8, 574.3]",549.1,2015-11-05:EX-99.1:exh99-1110515.htm
