ticker,subindustry,variable,test,target_enterprise_value_usd,solved_assumption,original_assumption,assumption_error,forward_roundtrip_error_pct,solver_status
VLO,refining,roic,B_MARKET_REVERSE_TO_FORWARD,111383965978.9187,,12.478005151680483,,-31.65748656356372,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
WMB,midstream,growth,A_FORWARD_BASE_TO_REVERSE,43895143359.50646,5.852238376624882,5.852238376502766,1.2211653910298992e-10,4.0063098212259663e-11,SOLVED
WMB,midstream,growth,B_MARKET_REVERSE_TO_FORWARD,117518145087.24384,,5.852238376502766,,-61.84997226953127,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
WMB,midstream,operating_margin,A_FORWARD_BASE_TO_REVERSE,43895143359.50646,26.33687819057377,26.336878190587203,-1.3432810419544694e-11,-5.0995718071483664e-11,SOLVED
WMB,midstream,operating_margin,B_MARKET_REVERSE_TO_FORWARD,117518145087.24384,,26.336878190587203,,-14.906086180274844,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
WMB,midstream,roic,A_FORWARD_BASE_TO_REVERSE,43895143359.50646,6.835840400226154,6.835840400226502,-3.481659405224491e-13,-2.659285911703136e-12,SOLVED
WMB,midstream,roic,B_MARKET_REVERSE_TO_FORWARD,117518145087.24384,,6.835840400226502,,-45.30727146048652,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
XOM,integrated,growth,A_FORWARD_BASE_TO_REVERSE,593448049801.68,3.504126749234274,3.5041267492890857,-5.481171072574398e-11,-7.900810702287906e-11,SOLVED
XOM,integrated,growth,B_MARKET_REVERSE_TO_FORWARD,715682228447.695,17.11672080575954,3.5041267492890857,,4.2419506188658636e-11,SOLVED
XOM,integrated,operating_margin,A_FORWARD_BASE_TO_REVERSE,593448049801.68,14.295805338886566,14.29580533887938,7.187139772213413e-12,5.029284604814873e-11,SOLVED
XOM,integrated,operating_margin,B_MARKET_REVERSE_TO_FORWARD,715682228447.695,17.240352926950436,14.29580533887938,,7.598669082045606e-11,SOLVED
XOM,integrated,roic,A_FORWARD_BASE_TO_REVERSE,593448049801.68,13.764362164665364,13.764362164705787,-4.04227762373921e-11,-5.453019831232814e-11,SOLVED
XOM,integrated,roic,B_MARKET_REVERSE_TO_FORWARD,715682228447.695,,13.764362164705787,,-5.214665076439393,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
