ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
KMI,midstream,BULL,reinvestment_rate,79.02992658019376,79.02992658019376,-50.0,150.0,False,False,False,NONE,False
KMI,midstream,BULL,roic,6.655865719497752,6.655865719497752,3.5,20.0,False,False,False,NONE,False
KMI,midstream,BULL,wacc,5.106857137616917,5.106857137616917,3.0,20.0,False,False,False,NONE,False
KMI,midstream,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
MGY,ep,BEAR,growth,-5.555707277889327,-5.555707277889327,-15.0,20.0,False,False,False,NONE,False
MGY,ep,BEAR,operating_margin,25.988122975219724,25.988122975219724,-20.0,50.0,False,False,False,NONE,False
MGY,ep,BEAR,reinvestment_rate,-16.879512202313794,-16.879512202313794,-50.0,150.0,False,False,False,NONE,False
MGY,ep,BEAR,roic,13.49478356745654,13.49478356745654,2.0,35.0,False,False,False,NONE,False
MGY,ep,BEAR,wacc,8.283254391053909,8.283254391053909,3.0,20.0,False,False,False,NONE,False
MGY,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
MGY,ep,BASE,growth,-0.4455998953782483,-0.4455998953782483,-15.0,20.0,False,False,False,NONE,False
MGY,ep,BASE,operating_margin,41.29734310200564,41.29734310200564,-20.0,50.0,False,False,False,NONE,False
MGY,ep,BASE,reinvestment_rate,3.042722012364801,3.042722012364801,-50.0,150.0,False,False,False,NONE,False
MGY,ep,BASE,roic,25.54292009432819,25.54292009432819,3.0,35.0,False,False,False,NONE,False
MGY,ep,BASE,wacc,6.78325439105391,6.78325439105391,3.0,20.0,False,False,False,NONE,False
MGY,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
MGY,ep,BULL,growth,14.31068893384303,14.31068893384303,-15.0,20.0,False,False,False,NONE,False
MGY,ep,BULL,operating_margin,55.52784261086416,50.0,-20.0,50.0,False,True,True,UPPER,False
MGY,ep,BULL,reinvestment_rate,24.015269905490047,24.015269905490047,-50.0,150.0,False,False,False,NONE,False
MGY,ep,BULL,roic,54.10542532973616,35.0,3.5,35.0,False,True,True,UPPER,False
MGY,ep,BULL,wacc,5.78325439105391,5.78325439105391,3.0,20.0,False,False,False,NONE,False
MGY,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
MPC,refining,BEAR,growth,-0.3095813408377326,-0.3095813408377326,-15.0,20.0,False,False,False,NONE,False
MPC,refining,BEAR,operating_margin,3.601462995128255,3.601462995128255,-10.0,20.0,False,False,False,NONE,False
MPC,refining,BEAR,reinvestment_rate,4.27577013351266,4.27577013351266,-50.0,150.0,False,False,False,NONE,False
MPC,refining,BEAR,roic,8.073617589389329,8.073617589389329,2.0,35.0,False,False,False,NONE,False
MPC,refining,BEAR,wacc,7.920598044240686,7.920598044240686,3.0,20.0,False,False,False,NONE,False
MPC,refining,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
MPC,refining,BASE,growth,0.8236938929741809,0.8236938929741809,-15.0,20.0,False,False,False,NONE,False
MPC,refining,BASE,operating_margin,6.058791428111415,6.058791428111415,-10.0,20.0,False,False,False,NONE,False
MPC,refining,BASE,reinvestment_rate,10.373586019149041,10.373586019149041,-50.0,150.0,False,False,False,NONE,False
MPC,refining,BASE,roic,13.610018212418565,13.610018212418565,3.0,35.0,False,False,False,NONE,False
