ticker,subindustry,scenario,scenario_weight,scenario_weight_source,story_validation_class,enterprise_value_usd,adjusted_total_debt_usd,noncontrolling_interest_usd,preferred_stock_usd,cash_usd,nonoperating_assets_usd,common_equity_value_usd,shares_outstanding,fair_value_per_share,market_price,value_gap_pct,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,equity_reconciliation_error_usd,production_eligible
PR,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,63990629314.09153,3546370000.0,0.0,0.0,170780000.0,0.0,60615039314.09153,837288124.0,72.39448115484262,23.75,204.81886802039,4087788606.436882,59902840707.65465,0.9361189497547776,0.0,False
PSX,refining,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,28903175741.314545,18676000000.0,1153000000.0,0.0,5150000000.0,0.0,14224175741.314545,400935020.0,35.47750890235167,242.8699951171875,-85.3923870319043,8253177229.787861,20649998511.526684,0.7144543110537618,0.0,False
PSX,refining,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,93635822163.55981,18676000000.0,1153000000.0,0.0,5150000000.0,0.0,78956822163.55981,400935020.0,196.93171767225476,242.8699951171875,-18.91476031148558,18931231782.987396,74704590380.57242,0.7978206273458146,0.0,False
PSX,refining,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,302528740097.3158,18676000000.0,1153000000.0,0.0,5150000000.0,0.0,287849740097.3158,400935020.0,717.9461153014665,242.8699951171875,195.60922704966063,31879885133.36917,270648854963.94662,0.8946219617907567,0.0,False
RRC,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,-8595807853.67321,819254000.0,0.0,0.0,247000.0,0.0,-9414814853.67321,235622250.0,-39.95724025924211,41.060001373291016,-197.31426917397465,-6995288114.053934,-1600519739.6192756,0.186197710193735,0.0,False
RRC,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,11363438932.027668,819254000.0,0.0,0.0,247000.0,0.0,10544431932.027668,235622250.0,44.75142704913338,41.060001373291016,8.99032039059695,3451033154.388961,7912405777.638707,0.6963038060016955,0.0,False
RRC,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,28154223487.08167,819254000.0,0.0,0.0,247000.0,0.0,27335216487.08167,235622250.0,116.0128828541518,41.060001373291016,182.544761261544,4501316508.271591,23652906978.810078,0.8401193160117884,0.0,False
SLB,services,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,45553526381.966805,9670000000.0,1176000000.0,0.0,2819000000.0,0.0,37526526381.966805,1495057661.0,25.10038733681109,53.869998931884766,-53.405628671816096,10665424058.288223,34888102323.67858,0.7658705065145006,0.0,False
SLB,services,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,82653753140.46674,9670000000.0,1176000000.0,0.0,2819000000.0,0.0,74626753140.46674,1495057661.0,49.91563542141318,53.869998931884766,-7.340567270980703,13617217117.097397,69036536023.36934,0.8352498634398914,0.0,False
SLB,services,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,145890823555.01422,9670000000.0,1176000000.0,0.0,2819000000.0,0.0,137863823555.01422,1495057661.0,92.21304779830443,53.869998931884766,71.17699949261562,17627556374.274902,128263267180.73932,0.8791729599934179,0.0,False
