issuer,filing_year,referenced_year,metric,original_filing_value_usd,repeated_value_usd,difference_usd,within_tolerance
CFSC,2023,2022,short_term_borrowings_usd,5954000000.0,5954000000.0,0.0,True
CFSC,2023,2022,current_debt_usd,5202000000.0,5202000000.0,0.0,True
CFSC,2023,2022,long_term_debt_usd,16216000000.0,16216000000.0,0.0,True
CFSC,2023,2022,standalone_equity_usd,2963000000.0,2963000000.0,0.0,True
CFSC,2024,2023,total_revenue_usd,3248000000.0,3248000000.0,0.0,True
CFSC,2024,2023,interest_expense_usd,1033000000.0,1033000000.0,0.0,True
CFSC,2024,2023,credit_loss_provision_usd,49000000.0,49000000.0,0.0,True
CFSC,2024,2023,pretax_profit_usd,760000000.0,760000000.0,0.0,True
CFSC,2024,2023,standalone_profit_usd,563000000.0,563000000.0,0.0,True
CFSC,2024,2023,cash_usd,727000000.0,727000000.0,0.0,True
CFSC,2024,2023,short_term_borrowings_usd,4643000000.0,4643000000.0,0.0,True
CFSC,2024,2023,current_debt_usd,7719000000.0,7719000000.0,0.0,True
CFSC,2024,2023,long_term_debt_usd,15893000000.0,15893000000.0,0.0,True
CFSC,2024,2023,standalone_equity_usd,3170000000.0,3170000000.0,0.0,True
CFSC,2025,2024,total_revenue_usd,3489000000.0,3489000000.0,0.0,True
CFSC,2025,2024,interest_expense_usd,1287000000.0,1287000000.0,0.0,True
CFSC,2025,2024,credit_loss_provision_usd,75000000.0,75000000.0,0.0,True
CFSC,2025,2024,pretax_profit_usd,533000000.0,533000000.0,0.0,True
CFSC,2025,2024,standalone_profit_usd,598000000.0,598000000.0,0.0,True
CFSC,2025,2024,cash_usd,599000000.0,599000000.0,0.0,True
CFSC,2025,2024,short_term_borrowings_usd,4393000000.0,4393000000.0,0.0,True
CFSC,2025,2024,current_debt_usd,6619000000.0,6619000000.0,0.0,True
CFSC,2025,2024,long_term_debt_usd,18787000000.0,18787000000.0,0.0,True
CFSC,2025,2024,standalone_equity_usd,2890000000.0,2890000000.0,0.0,True
